,pct_change,log_diff
1880-01-01,,
1881-01-01,0.1103448275862069,0.10467062256388848
1882-01-01,0.07897071872227146,0.07600754848633606
1883-01-01,-0.05016447368421051,-0.051466439570218014
1884-01-01,-0.05021645021645027,-0.05152116268066376
1885-01-01,-0.03008204193254327,-0.030543790373640523
1886-01-01,0.02725563909774431,0.026890818274948547
1887-01-01,0.09789569990850877,0.09339534759955326
1888-01-01,0.03499999999999992,0.034401426717332484
1889-01-01,0.044283413848631215,0.043330921823019786
1890-01-01,0.010023130300693905,0.009973231878753097
1891-01-01,0.03053435114503822,0.030077455237278006
1892-01-01,0.059259259259259345,0.05756985182147778
1893-01-01,-0.034965034965035,-0.03559094510270233
1894-01-01,-0.08695652173913049,-0.0909717782057271
1895-01-01,0.10317460317460325,0.09819202617921396
1896-01-01,-0.043165467625899234,-0.044124804908937776
1897-01-01,0.09774436090225547,0.09325749348658263
1898-01-01,0.0547945205479452,0.05334598070529273
1899-01-01,0.1298701298701297,0.12210269680089958
1900-01-01,0.07471264367816088,0.07205331764005773
1901-01-01,0.106951871657754,0.1016101764107824
1902-01-01,0.04347826086956541,0.04255961441879608
1903-01-01,0.06018518518518512,0.05844359587007464
1904-01-01,0.0,0.0
1905-01-01,0.09606986899563341,0.09173093557754441
1906-01-01,0.143426294820717,0.13402927662783704
1907-01-01,0.059233449477351874,0.05754548564660045
1908-01-01,-0.08881578947368418,-0.09301019521888332
1909-01-01,0.2057761732851986,0.18712348678936186
1910-01-01,0.05688622754491024,0.05532706395659659
1911-01-01,0.014164305949008416,0.014064929467403342
1912-01-01,0.1005586592178771,0.09581792289723357
1913-01-01,0.005076142131979822,0.005063301956546695
1914-01-01,-0.025252525252525304,-0.025576841789649585
1915-01-01,0.03626943005181338,0.03562717764315115
1916-01-01,0.20750000000000002,0.18855210654459054
1917-01-01,0.25051759834368537,0.2235575442822424
1918-01-01,0.26490066225165565,0.2349935912317056
1919-01-01,0.09947643979057585,0.09483410267083858
1920-01-01,0.08928571428571419,0.0855221734381626
1921-01-01,-0.239344262295082,-0.27357440494110197
1922-01-01,0.06465517241379315,0.06265096496166755
1923-01-01,0.14844804318488536,0.13841150327728702
1924-01-01,-0.004700352526439411,-0.004711433921319674
1925-01-01,0.09917355371900816,0.09455858262501238
1926-01-01,0.041890440386681105,0.04103679422036155
1927-01-01,-0.021649484536082397,-0.021887272887500586
1928-01-01,0.02212855637513167,0.021887272887500586
1929-01-01,0.07113402061855667,0.06871791960179863
1930-01-01,-0.12223291626564003,-0.1303740010248955
1931-01-01,-0.16228070175438591,-0.17707220090781117
1932-01-01,-0.23429319371727753,-0.2669559419346639
1933-01-01,-0.042735042735042694,-0.04367506350266126
1934-01-01,0.17142857142857126,0.158224005214894
1935-01-01,0.10975609756097571,0.1041402592525964
1936-01-01,0.14148351648351642,0.1323287466587626
1937-01-01,0.09867629362214214,0.0941060857395204
1938-01-01,-0.0646221248630886,-0.06680468680639873
1939-01-01,0.06908665105386413,0.06680468680639873
1940-01-01,0.09967141292442516,0.09501141965670623
1941-01-01,0.25,0.2231435513142097
1942-01-01,0.26693227091633465,0.23659844364839255
1943-01-01,0.21194968553459104,0.19223037320008896
1944-01-01,0.09704203425012992,0.09261749801581676
1945-01-01,0.009460737937559083,0.009416265431515747
1946-01-01,-0.004686035613870709,-0.004697049499869266
1947-01-01,0.14483992467043305,0.13526482345146196
1948-01-01,0.09285091543156065,0.08878980046897755
1949-01-01,0.03496624545611904,0.034368813099638906
1950-01-01,0.021066486325326927,0.020847655892288763
1951-01-01,0.19646189126440405,0.17936877768305326
1952-01-01,0.07089285714285709,0.06849274644526915
1953-01-01,0.07826135289867153,0.07534988549448673
1954-01-01,-0.00679158719521622,-0.006814754980471349
1955-01-01,0.07195629890098476,0.06948529586708219
1956-01-01,0.06457212163467485,0.06257295470941049
1957-01-01,0.06829624374070487,0.06606508385447629
1958-01-01,-0.004766070854593241,-0.004777464787565577
1959-01-01,0.09152158104119423,0.08757266872370906
1960-01-01,0.06332765073579849,0.061403283978751055
1961-01-01,0.004367472099777503,0.0043579623724312455
1962-01-01,0.0898961135228562,0.0860823830042623
1963-01-01,0.04656295400942412,0.04551141781643242
1964-01-01,0.07745241863876773,0.07459938298477997
1965-01-01,0.0716130554087504,0.06916504171297433
1966-01-01,0.10858886303793591,0.10308791198335765
1967-01-01,0.06086958707306711,0.059088936971667394
1968-01-01,0.077255766018693,0.07441685003482323
1969-01-01,0.09231493302631333,0.08829923595061473
1970-01-01,0.05825112726093962,0.05661766563065029
1971-01-01,0.0798668188736682,0.07683771767438863
1972-01-01,0.08408800200148692,0.08073908238051875
1973-01-01,0.11935635120497268,0.11275383368733483
1974-01-01,0.08255522726117803,0.07932419784825129
1975-01-01,0.08376223587706355,0.08043853936220202
1976-01-01,0.1264581255305932,0.11907830801159225
1977-01-01,0.0923714368737596,0.08835096314426316
1978-01-01,0.1076671185649749,0.10225610867745871
1979-01-01,0.1470201020537869,0.1371673637598203
1980-01-01,0.10418386692049819,0.09910648011127687
1981-01-01,0.1198505148320228,0.11319520749925793
1982-01-01,0.04804292674682786,0.0469245456962728
1983-01-01,0.06081021237503448,0.059032967453491736
1984-01-01,0.12513369415039333,0.11790186784035406
1985-01-01,0.08242311902547916,0.07920215668687902
1986-01-01,0.06565365725427474,0.06358837356617819
1987-01-01,0.04753039889580357,0.04643539281866005
1988-01-01,0.07437619595794809,0.07174021032056821
1989-01-01,0.08630965756108555,0.08278631674400572
1990-01-01,0.06558363406651813,0.06352266226498493
